State,1918,1928,1938,1948,1958,1968,1978,1988,1998,2008,2018
South Carolina,0.349952251,0.434401274,0.415872782,0.41606304,0.430890828,0.468643576,0.465950191,0.523336768,0.559401274,0.639552534,0.593585193
South Dakota,0.270468712,0.384560704,0.416346669,0.442554653,0.462005377,0.477547973,0.517615676,0.586626351,0.587156296,0.629853487,0.617684603
Tennessee,0.397225022,0.513640046,0.424859315,0.427344233,0.476924658,0.466040879,0.478796989,0.547445655,0.568723381,0.646907985,0.6104545
Texas,0.411279231,0.454129606,0.457062036,0.45654574,0.456680864,0.498087764,0.510296643,0.604058504,0.607748866,0.640521348,0.644100666
Utah,0.340239882,0.477365047,0.413901031,0.383809984,0.405558258,0.462546885,0.459121913,0.536841214,0.562326193,0.58605063,0.604863107
Vermont,0.439484268,0.470364064,0.397470146,0.419331342,0.439523339,0.471412539,0.446530104,0.521300018,0.561293781,0.602583289,0.578988433
Virginia,0.38419804,0.485997528,0.418810278,0.414067715,0.451161653,0.472585857,0.455862194,0.527017593,0.564795375,0.565270901,0.597394288
Washington,0.336607665,0.424596786,0.384981185,0.401675701,0.40788886,0.449249893,0.479650855,0.528801203,0.587202549,0.567158937,0.604621589
West Virginia,0.353016675,0.475173533,0.412972629,0.404618621,0.43478784,0.450943917,0.438973844,0.507365346,0.530193686,0.635062933,0.545044005
Wisconsin,0.391591191,0.519121468,0.43729803,0.404053777,0.42259118,0.457335889,0.458959043,0.524683356,0.547994137,0.581623852,0.577299774
Wyoming,0.428132176,0.404323071,0.407761037,0.423524439,0.429580688,0.484027624,0.485492736,0.572099447,0.627531052,0.621331275,0.657866061
Alaska,NA,NA,NA,NA,NA,0.476322562,0.494370073,0.695107758,0.589037299,0.562505126,0.558937788
Hawaii,NA,NA,NA,NA,NA,0.49211514,0.477761328,0.546150208,0.557972848,0.570619583,0.565651238
